OrderDate,OrderQty,LineTotal,ProductID,Name,SalesOrderID
2013-10-11 00:00:00,1,63.500000,866,Price,57796
2013-12-19 00:00:00,1,4.990000,870,Price,62422
2014-03-16 00:00:00,1,7.950000,877,Price,68388
2013-06-05 00:00:00,1,8.990000,712,Price,51270
2014-01-28 00:00:00,1,2384.070000,957,Price,65145
2014-06-18 00:00:00,1,28.990000,934,Price,74725
2014-04-13 00:00:00,1,3.990000,922,Price,70538
2014-05-16 00:00:00,1,1700.990000,973,Price,73087
2013-10-11 00:00:00,1,34.990000,708,Price,57799
2013-12-19 00:00:00,1,24.990000,928,Price,62416
2014-03-16 00:00:00,1,539.990000,977,Price,68391
2013-05-30 00:00:00,1,4.990000,921,Price,51184
2014-01-28 00:00:00,1,2319.990000,780,Price,65144
2014-06-18 00:00:00,1,24.490000,858,Price,74729
2014-04-13 00:00:00,1,32.600000,933,Price,70536
2014-05-12 00:00:00,1,3.990000,922,Price,72760
2013-10-11 00:00:00,1,24.990000,928,Price,57793
2013-12-19 00:00:00,1,53.990000,883,Price,62422
2014-03-16 00:00:00,1,8.990000,872,Price,68390
2013-06-05 00:00:00,1,2294.990000,782,Price,51270
2014-01-28 00:00:00,1,4.990000,870,Price,65144
2014-06-18 00:00:00,1,34.990000,707,Price,74724
2014-04-13 00:00:00,1,4.990000,870,Price,70560
2014-05-17 00:00:00,1,21.980000,878,Price,73158
2013-10-11 00:00:00,1,49.990000,716,Price,57800
2013-12-19 00:00:00,1,2.290000,873,Price,62416
2014-03-16 00:00:00,1,34.990000,708,Price,68390
2013-06-05 00:00:00,1,2443.350000,793,Price,51269
2014-01-28 00:00:00,1,9.990000,871,Price,65144
2014-06-18 00:00:00,1,34.990000,708,Price,74729
2014-04-13 00:00:00,1,4.990000,921,Price,70559
2014-05-12 00:00:00,1,21.490000,931,Price,72760
2013-10-11 00:00:00,1,2.290000,873,Price,57793
2013-12-19 00:00:00,1,8.990000,875,Price,62418
2014-03-16 00:00:00,1,24.490000,859,Price,68391
2013-05-30 00:00:00,1,32.600000,933,Price,51181
2014-01-28 00:00:00,1,8.990000,712,Price,65145
2014-06-18 00:00:00,1,3.990000,922,Price,74729
2014-04-13 00:00:00,1,4.990000,923,Price,70558
2014-05-19 00:00:00,1,32.600000,933,Price,73302
2013-10-11 00:00:00,1,2.290000,873,Price,57794
2013-12-19 00:00:00,1,7.950000,877,Price,62416
2014-03-16 00:00:00,1,742.350000,965,Price,68389
2013-05-30 00:00:00,1,34.990000,711,Price,51184
2014-02-07 00:00:00,1,49.990000,714,Price,65927
2014-06-18 00:00:00,1,32.600000,933,Price,74729
2014-04-13 00:00:00,1,34.990000,707,Price,70559
2014-05-16 00:00:00,1,24.490000,860,Price,73094
2013-10-11 00:00:00,1,4.990000,923,Price,57799
2013-12-19 00:00:00,1,4.990000,870,Price,62418
2014-03-16 00:00:00,1,2443.350000,796,Price,68388
2013-06-05 00:00:00,1,2.290000,873,Price,51269
2014-01-28 00:00:00,1,8.990000,712,Price,65147
2014-06-18 00:00:00,1,24.990000,928,Price,74728
2014-04-13 00:00:00,1,9.990000,871,Price,70560
2014-05-16 00:00:00,1,8.990000,872,Price,73088
2013-10-11 00:00:00,1,7.950000,877,Price,57798
2013-12-19 00:00:00,1,4.990000,923,Price,62415
2014-03-16 00:00:00,1,4.990000,870,Price,68383
2013-06-05 00:00:00,1,2443.350000,794,Price,51268
2014-02-07 00:00:00,1,21.980000,878,Price,65926
2014-06-18 00:00:00,1,34.990000,707,Price,74730
2014-04-13 00:00:00,1,21.980000,878,Price,70560
2014-05-17 00:00:00,1,2294.990000,784,Price,73158
2013-10-11 00:00:00,1,21.980000,878,Price,57796
2013-12-19 00:00:00,1,4.990000,921,Price,62416
2014-03-16 00:00:00,1,9.990000,871,Price,68383
2013-06-04 00:00:00,1,24.490000,859,Price,51267
2014-02-07 00:00:00,1,539.990000,993,Price,65929
2014-06-18 00:00:00,1,4.990000,921,Price,74731
2014-04-13 00:00:00,1,35.000000,930,Price,70560
2014-05-16 00:00:00,1,8.990000,872,Price,73094
2013-10-11 00:00:00,1,9.990000,871,Price,57795
2013-12-21 00:00:00,1,2384.070000,969,Price,62562
2014-03-16 00:00:00,1,2294.990000,783,Price,68383
2013-06-04 00:00:00,1,4.990000,870,Price,51267
2014-02-07 00:00:00,1,4.990000,921,Price,65929
2014-06-17 00:00:00,1,63.500000,864,Price,74691
2014-04-13 00:00:00,1,35.000000,930,Price,70559
2014-05-16 00:00:00,1,4.990000,870,Price,73088
2013-10-11 00:00:00,1,35.000000,930,Price,57797
2013-12-19 00:00:00,1,4.990000,921,Price,62423
2014-03-16 00:00:00,1,2319.990000,779,Price,68384
2013-05-30 00:00:00,1,49.990000,715,Price,51182
2014-02-07 00:00:00,1,34.990000,707,Price,65929
2014-06-16 00:00:00,1,34.990000,708,Price,74687
2014-04-13 00:00:00,1,4.990000,921,Price,70534
2014-05-16 00:00:00,1,1700.990000,973,Price,73088
2013-10-11 00:00:00,1,2.290000,873,Price,57797
2013-12-21 00:00:00,1,49.990000,716,Price,62563
2014-03-16 00:00:00,1,53.990000,881,Price,68389
2013-05-30 00:00:00,1,49.990000,715,Price,51183
2014-02-07 00:00:00,1,24.990000,928,Price,65929
2014-06-18 00:00:00,1,4.990000,921,Price,74741
2014-04-13 00:00:00,1,53.990000,883,Price,70537
2014-05-12 00:00:00,1,24.490000,859,Price,72761
2013-10-12 00:00:00,1,34.990000,707,Price,57844
2013-12-19 00:00:00,1,69.990000,869,Price,62421
2014-03-16 00:00:00,1,2.290000,873,Price,68384
2013-05-30 00:00:00,1,3.990000,922,Price,51181
2014-02-07 00:00:00,1,24.490000,860,Price,65929
2014-06-18 00:00:00,1,9.990000,871,Price,74741
2014-04-13 00:00:00,1,21.980000,878,Price,70537
2014-05-16 00:00:00,1,24.990000,932,Price,73091
2013-10-11 00:00:00,1,4.990000,870,Price,57795
2013-12-19 00:00:00,1,8.990000,712,Price,62421
2014-03-16 00:00:00,1,4.990000,870,Price,68390
2013-06-04 00:00:00,1,34.990000,707,Price,51267
2014-02-07 00:00:00,1,769.490000,982,Price,65930
2014-06-18 00:00:00,1,24.990000,928,Price,74730
2014-04-13 00:00:00,1,8.990000,712,Price,70558
2014-05-16 00:00:00,1,49.990000,714,Price,73088
2013-10-11 00:00:00,1,21.980000,878,Price,57795
2013-12-21 00:00:00,1,4.990000,870,Price,62562
2014-03-16 00:00:00,1,539.990000,997,Price,68390
2013-06-05 00:00:00,1,3.990000,922,Price,51269
2014-01-28 00:00:00,1,2384.070000,966,Price,65147
2014-06-18 00:00:00,1,4.990000,870,Price,74741
2014-04-13 00:00:00,1,34.990000,707,Price,70558
2014-05-17 00:00:00,1,49.990000,715,Price,73158
2013-10-12 00:00:00,1,2294.990000,784,Price,57844
2013-12-19 00:00:00,1,9.990000,871,Price,62418
2014-03-16 00:00:00,1,8.990000,712,Price,68389
2013-06-05 00:00:00,1,32.600000,933,Price,51269
2014-02-07 00:00:00,1,69.990000,869,Price,65930
2014-06-16 00:00:00,1,4.990000,923,Price,74686
2014-04-13 00:00:00,1,2.290000,873,Price,70535
2014-05-17 00:00:00,1,2294.990000,783,Price,73159
2013-10-12 00:00:00,1,2.290000,873,Price,57845
2013-12-19 00:00:00,1,4.990000,870,Price,62420
2014-03-16 00:00:00,1,4.990000,870,Price,68389
2013-05-30 00:00:00,1,1700.990000,974,Price,51183
2014-01-28 00:00:00,1,769.490000,982,Price,65150
2014-06-17 00:00:00,1,21.980000,878,Price,74691
2014-04-13 00:00:00,1,3.990000,922,Price,70536
2014-05-17 00:00:00,1,9.990000,871,Price,73159
2013-10-12 00:00:00,1,9.990000,871,Price,57844
2013-12-19 00:00:00,1,9.990000,871,Price,62417
2014-03-16 00:00:00,1,8.990000,872,Price,68389
2013-05-30 00:00:00,1,35.000000,930,Price,51184
2014-01-28 00:00:00,1,8.990000,712,Price,65150
2014-06-18 00:00:00,1,4.990000,923,Price,74725
2014-04-13 00:00:00,1,4.990000,921,Price,70537
2014-05-17 00:00:00,1,4.990000,870,Price,73159
2013-10-12 00:00:00,1,24.490000,858,Price,57843
2013-12-21 00:00:00,1,24.490000,859,Price,62562
2014-03-16 00:00:00,1,21.490000,931,Price,68369
2013-06-05 00:00:00,1,7.950000,877,Price,51268
2014-01-28 00:00:00,1,8.990000,712,Price,65149
2014-06-18 00:00:00,1,34.990000,707,Price,74741
2014-04-13 00:00:00,1,29.990000,929,Price,70537
2014-05-17 00:00:00,1,2.290000,873,Price,73159
2013-10-12 00:00:00,1,2294.990000,783,Price,57845
2013-12-21 00:00:00,1,8.990000,872,Price,62562
2014-03-16 00:00:00,1,4.990000,923,Price,68382
2013-05-30 00:00:00,1,1700.990000,974,Price,51182
2014-01-28 00:00:00,1,2384.070000,967,Price,65149
2014-06-17 00:00:00,1,34.990000,707,Price,74696
2014-04-13 00:00:00,1,24.990000,928,Price,70535
2014-05-16 00:00:00,1,49.990000,714,Price,73089
2013-10-12 00:00:00,1,2294.990000,782,Price,57846
2013-12-19 00:00:00,1,9.990000,871,Price,62419
2014-03-16 00:00:00,1,4.990000,870,Price,68357
2013-06-02 00:00:00,1,539.990000,997,Price,51244
2014-01-28 00:00:00,1,1700.990000,973,Price,65148
2014-06-17 00:00:00,1,4.990000,923,Price,74696
2014-04-13 00:00:00,1,34.990000,708,Price,70536
2014-05-16 00:00:00,1,49.990000,715,Price,73087
2013-10-11 00:00:00,1,4.990000,923,Price,57798
2013-12-19 00:00:00,1,4.990000,921,Price,62424
2014-03-16 00:00:00,1,34.990000,707,Price,68357
2013-05-30 00:00:00,1,2443.350000,792,Price,51181
2014-01-28 00:00:00,1,49.990000,716,Price,65148
2014-06-18 00:00:00,1,54.990000,880,Price,74725
2014-04-13 00:00:00,1,4.990000,921,Price,70547
2014-05-16 00:00:00,1,1120.490000,800,Price,73091
2013-10-11 00:00:00,1,54.990000,880,Price,57798
2013-12-19 00:00:00,1,34.990000,708,Price,62420
2014-03-16 00:00:00,1,9.990000,871,Price,68357
2013-06-05 00:00:00,1,2294.990000,782,Price,51275
2014-01-28 00:00:00,1,8.990000,875,Price,65148
2014-06-18 00:00:00,1,2.290000,873,Price,74728
2014-04-13 00:00:00,1,34.990000,707,Price,70538
2014-05-12 00:00:00,1,4.990000,870,Price,72761
2013-10-11 00:00:00,1,24.990000,928,Price,57794
2013-12-21 00:00:00,1,1120.490000,801,Price,62575
2014-03-16 00:00:00,1,4.990000,870,Price,68358
2013-06-05 00:00:00,1,21.980000,878,Price,51275
2014-01-28 00:00:00,1,69.990000,868,Price,65150
2014-06-17 00:00:00,1,2.290000,873,Price,74695
2014-04-13 00:00:00,1,4.990000,921,Price,70552
2014-05-16 00:00:00,1,1700.990000,973,Price,73089
2013-10-11 00:00:00,1,4.990000,921,Price,57793
2013-12-21 00:00:00,1,4.990000,921,Price,62560
2014-03-16 00:00:00,1,34.990000,711,Price,68358
2013-06-05 00:00:00,1,21.980000,878,Price,51276
2014-01-28 00:00:00,1,35.000000,930,Price,65143
2014-06-17 00:00:00,1,69.990000,869,Price,74693
2014-04-13 00:00:00,1,35.000000,930,Price,70552
2014-05-16 00:00:00,1,742.350000,959,Price,73097
2013-10-12 00:00:00,1,34.990000,708,Price,57846
2013-12-21 00:00:00,1,4.990000,923,Price,62557
2014-03-16 00:00:00,1,9.990000,871,Price,68358
2013-06-05 00:00:00,1,63.500000,865,Price,51276
2014-01-27 00:00:00,1,2294.990000,783,Price,65065
2014-06-17 00:00:00,1,8.990000,712,Price,74693
2014-04-13 00:00:00,1,4.990000,870,Price,70544
2014-05-16 00:00:00,1,539.990000,999,Price,73094
2013-10-11 00:00:00,1,49.990000,716,Price,57791
2013-12-19 00:00:00,1,21.490000,931,Price,62432
2014-03-16 00:00:00,1,9.990000,871,Price,68359
2013-06-05 00:00:00,1,2294.990000,782,Price,51276
2014-01-28 00:00:00,1,4.990000,921,Price,65143
2014-06-18 00:00:00,1,24.990000,928,Price,74727
2014-04-25 00:00:00,1,28.990000,934,Price,71413
2014-05-17 00:00:00,1,4.990000,870,Price,73156
2013-10-12 00:00:00,1,2.290000,873,Price,57850
2013-12-19 00:00:00,1,3.990000,922,Price,62432
2014-03-16 00:00:00,1,4.990000,870,Price,68359
